Language Literacy,Qualification,Gender,Count,num_languages,education_level_ordinal,gender_numeric,eng_speaker,chi_speaker,malay_speaker,tamil_speaker,total_per_group,percentage
Other Two Languages Only,Professional Qualification and Other Diploma,Males,58,2,6,1,0,0,0,0,87669,0.06615793495990602
"English, Chinese & Malay Only",Professional Qualification and Other Diploma,Males,7645,3,6,1,1,1,1,0,87669,8.720300220146232
"English, Malay & Tamil Only",Professional Qualification and Other Diploma,Males,882,3,6,1,1,0,1,1,87669,1.0060568730109845
Other Three or More Languages,Professional Qualification and Other Diploma,Males,2407,3,6,1,0,0,0,0,87669,2.7455543008360994
Not Literate,University,Males,38,0,7,1,0,0,0,0,488587,0.007777529897438942
English Only,University,Males,59491,1,7,1,1,0,0,0,488587,12.176132398119476
Chinese Only,University,Males,3586,1,7,1,0,1,0,0,488587,0.7339532161109485
Malay Only,University,Males,107,1,7,1,0,0,1,0,488587,0.021899886816472806
Tamil Only,University,Males,207,1,7,1,0,0,0,1,488587,0.0423670707571016
Non-Official Language Only,University,Males,171,1,7,1,0,0,0,0,488587,0.03499888453847524
English & Chinese Only,University,Males,289485,2,7,1,1,1,0,0,488587,59.24942743052925
English & Malay Only,University,Males,30974,2,7,1,1,0,1,0,488587,6.339505553770362
English & Tamil Only,University,Males,21625,2,7,1,1,0,0,1,488587,4.426028527160977
English & Non-Official Language Only,University,Males,25106,2,7,1,1,0,0,0,488587,5.138491200134265
Other Two Languages Only,University,Males,218,2,7,1,0,0,0,0,488587,0.04461846099057077
"English, Chinese & Malay Only",University,Males,31351,3,7,1,1,1,1,0,488587,6.416666837226533
"English, Malay & Tamil Only",University,Males,1505,3,7,1,1,0,1,1,488587,0.30803111830646335
Other Three or More Languages,University,Males,24723,3,7,1,0,0,0,0,488587,5.060101885641656
Not Literate,No Qualification,Females,71331,0,0,0,0,0,0,0,213239,33.45119795159422
English Only,No Qualification,Females,7028,1,0,0,1,0,0,0,213239,3.2958323758787085
Chinese Only,No Qualification,Females,93295,1,0,0,0,1,0,0,213239,43.751377562265816
Malay Only,No Qualification,Females,15061,1,0,0,0,0,1,0,213239,7.062966905678605
Tamil Only,No Qualification,Females,3404,1,0,0,0,0,0,1,213239,1.596330877559921
Non-Official Language Only,No Qualification,Females,1887,1,0,0,0,0,0,0,213239,0.8849225516908258
English & Chinese Only,No Qualification,Females,10341,2,0,0,1,1,0,0,213239,4.849488133033826
English & Malay Only,No Qualification,Females,6671,2,0,0,1,0,1,0,213239,3.128414595829093
English & Tamil Only,No Qualification,Females,1455,2,0,0,1,0,0,1,213239,0.6823329691097783
English & Non-Official Language Only,No Qualification,Females,577,2,0,0,1,0,0,0,213239,0.2705884008084825
Other Two Languages Only,No Qualification,Females,1231,2,0,0,0,0,0,0,213239,0.5772865188825683
"English, Chinese & Malay Only",No Qualification,Females,467,3,0,0,1,1,1,0,213239,0.21900309042904909
"English, Malay & Tamil Only",No Qualification,Females,276,3,0,0,1,0,1,1,213239,0.12943223331566928
Other Three or More Languages,No Qualification,Females,215,3,0,0,0,0,0,0,213239,0.10082583392343801
Not Literate,Primary,Females,1186,0,1,0,0,0,0,0,93832,1.263961122005286
English Only,Primary,Females,6989,1,1,0,1,0,0,0,93832,7.448418449995738
