Language Literacy,Qualification,Gender,Count
English Only,Post-Secondary (Non-Tertiary),Males,23650
Chinese Only,Post-Secondary (Non-Tertiary),Males,13336
Malay Only,Post-Secondary (Non-Tertiary),Males,1388
Tamil Only,Post-Secondary (Non-Tertiary),Males,285
Non-Official Language Only,Post-Secondary (Non-Tertiary),Males,22
Two Languages Only,Post-Secondary (Non-Tertiary),Males,142050
English & Chinese Only,Post-Secondary (Non-Tertiary),Males,79241
English & Malay Only,Post-Secondary (Non-Tertiary),Males,53111
English & Tamil Only,Post-Secondary (Non-Tertiary),Males,7587
English & Non-Official Language Only,Post-Secondary (Non-Tertiary),Males,1840
Other Two Languages Only,Post-Secondary (Non-Tertiary),Males,271
Three or More Languages,Post-Secondary (Non-Tertiary),Males,9323
"English, Chinese & Malay Only",Post-Secondary (Non-Tertiary),Males,4665
"English, Malay & Tamil Only",Post-Secondary (Non-Tertiary),Males,1602
Other Three or More Languages,Post-Secondary (Non-Tertiary),Males,3056
Total,Polytechnic Diploma,Males,181148
Not Literate,Polytechnic Diploma,Males,6
Literate,Polytechnic Diploma,Males,181142
One Language Only,Polytechnic Diploma,Males,22208
English Only,Polytechnic Diploma,Males,20257
Chinese Only,Polytechnic Diploma,Males,1709
Malay Only,Polytechnic Diploma,Males,119
Tamil Only,Polytechnic Diploma,Males,62
Non-Official Language Only,Polytechnic Diploma,Males,61
Two Languages Only,Polytechnic Diploma,Males,149917
English & Chinese Only,Polytechnic Diploma,Males,109172
English & Malay Only,Polytechnic Diploma,Males,31687
English & Tamil Only,Polytechnic Diploma,Males,6981
English & Non-Official Language Only,Polytechnic Diploma,Males,2014
Other Two Languages Only,Polytechnic Diploma,Males,64
Three or More Languages,Polytechnic Diploma,Males,9017
"English, Chinese & Malay Only",Polytechnic Diploma,Males,4862
"English, Malay & Tamil Only",Polytechnic Diploma,Males,741
Other Three or More Languages,Polytechnic Diploma,Males,3414
Total,Professional Qualification and Other Diploma,Males,87668
Not Literate,Professional Qualification and Other Diploma,Males,18
Literate,Professional Qualification and Other Diploma,Males,87650
One Language Only,Professional Qualification and Other Diploma,Males,16499
English Only,Professional Qualification and Other Diploma,Males,13561
Chinese Only,Professional Qualification and Other Diploma,Males,2699
Malay Only,Professional Qualification and Other Diploma,Males,96
Tamil Only,Professional Qualification and Other Diploma,Males,91
Non-Official Language Only,Professional Qualification and Other Diploma,Males,52
Two Languages Only,Professional Qualification and Other Diploma,Males,60218
English & Chinese Only,Professional Qualification and Other Diploma,Males,40113
English & Malay Only,Professional Qualification and Other Diploma,Males,12744
English & Tamil Only,Professional Qualification and Other Diploma,Males,5123
English & Non-Official Language Only,Professional Qualification and Other Diploma,Males,2180
Other Two Languages Only,Professional Qualification and Other Diploma,Males,58
Three or More Languages,Professional Qualification and Other Diploma,Males,10933
"English, Chinese & Malay Only",Professional Qualification and Other Diploma,Males,7645
"English, Malay & Tamil Only",Professional Qualification and Other Diploma,Males,882
Other Three or More Languages,Professional Qualification and Other Diploma,Males,2407
Total,University,Males,488586
Not Literate,University,Males,38
Literate,University,Males,488547
One Language Only,University,Males,63561
English Only,University,Males,59491
Chinese Only,University,Males,3586
Malay Only,University,Males,107
Tamil Only,University,Males,207
Non-Official Language Only,University,Males,171
Two Languages Only,University,Males,367408
English & Chinese Only,University,Males,289485
English & Malay Only,University,Males,30974
English & Tamil Only,University,Males,21625
English & Non-Official Language Only,University,Males,25106
Other Two Languages Only,University,Males,218
Three or More Languages,University,Males,57578
"English, Chinese & Malay Only",University,Males,31351
"English, Malay & Tamil Only",University,Males,1505
Other Three or More Languages,University,Males,24723
Total,Total,Females,1635405
Not Literate,Total,Females,74739
Literate,Total,Females,1560666
One Language Only,Total,Females,440268
English Only,Total,Females,146697
Chinese Only,Total,Females,250500
Malay Only,Total,Females,30512
Tamil Only,Total,Females,7215
Non-Official Language Only,Total,Females,5345
Two Languages Only,Total,Females,1002974
English & Chinese Only,Total,Females,704971
English & Malay Only,Total,Females,203060
English & Tamil Only,Total,Females,51727
English & Non-Official Language Only,Total,Females,38014
Other Two Languages Only,Total,Females,5201
Three or More Languages,Total,Females,117423
"English, Chinese & Malay Only",Total,Females,68676
"English, Malay & Tamil Only",Total,Females,6827
Other Three or More Languages,Total,Females,41920
Total,No Qualification,Females,213237
Not Literate,No Qualification,Females,71331
Literate,No Qualification,Females,141906
One Language Only,No Qualification,Females,120673
English Only,No Qualification,Females,7028
Chinese Only,No Qualification,Females,93295
Malay Only,No Qualification,Females,15061
Tamil Only,No Qualification,Females,3404
Non-Official Language Only,No Qualification,Females,1887
Two Languages Only,No Qualification,Females,20275
English & Chinese Only,No Qualification,Females,10341
English & Malay Only,No Qualification,Females,6671
English & Tamil Only,No Qualification,Females,1455
English & Non-Official Language Only,No Qualification,Females,577
Other Two Languages Only,No Qualification,Females,1231
Three or More Languages,No Qualification,Females,958
"English, Chinese & Malay Only",No Qualification,Females,467
"English, Malay & Tamil Only",No Qualification,Females,276
Other Three or More Languages,No Qualification,Females,215
Total,Primary,Females,93832
Not Literate,Primary,Females,1186
Literate,Primary,Females,92646
One Language Only,Primary,Females,62819
English Only,Primary,Females,6989
Chinese Only,Primary,Females,46380
Malay Only,Primary,Females,6942
Tamil Only,Primary,Females,1688
Non-Official Language Only,Primary,Females,819
Two Languages Only,Primary,Females,28762
English & Chinese Only,Primary,Females,15380
English & Malay Only,Primary,Females,10031
English & Tamil Only,Primary,Females,2142
English & Non-Official Language Only,Primary,Females,446
Other Two Languages Only,Primary,Females,764
Three or More Languages,Primary,Females,1065
"English, Chinese & Malay Only",Primary,Females,476
"English, Malay & Tamil Only",Primary,Females,313
Other Three or More Languages,Primary,Females,276
Total,Lower Secondary,Females,129611
Not Literate,Lower Secondary,Females,539
Literate,Lower Secondary,Females,129072
One Language Only,Lower Secondary,Females,63795
English Only,Lower Secondary,Females,14246
Chinese Only,Lower Secondary,Females,44225
Malay Only,Lower Secondary,Females,3759
Tamil Only,Lower Secondary,Females,826
Non-Official Language Only,Lower Secondary,Females,739
Two Languages Only,Lower Secondary,Females,61026
English & Chinese Only,Lower Secondary,Females,35608
English & Malay Only,Lower Secondary,Females,19194
English & Tamil Only,Lower Secondary,Females,3671
English & Non-Official Language Only,Lower Secondary,Females,1401
Other Two Languages Only,Lower Secondary,Females,1152
Three or More Languages,Lower Secondary,Females,4252
"English, Chinese & Malay Only",Lower Secondary,Females,2665
"English, Malay & Tamil Only",Lower Secondary,Females,718
Other Three or More Languages,Lower Secondary,Females,868
Total,Secondary,Females,277952
Not Literate,Secondary,Females,542
Literate,Secondary,Females,277410
One Language Only,Secondary,Females,74872
English Only,Secondary,Females,36890
Chinese Only,Secondary,Females,33895
Malay Only,Secondary,Females,2944
Tamil Only,Secondary,Females,589
Non-Official Language Only,Secondary,Females,553
Two Languages Only,Secondary,Females,188021
English & Chinese Only,Secondary,Females,121709
English & Malay Only,Secondary,Females,54576
English & Tamil Only,Secondary,Females,8148
English & Non-Official Language Only,Secondary,Females,2561
Other Two Languages Only,Secondary,Females,1028
Three or More Languages,Secondary,Females,14517
"English, Chinese & Malay Only",Secondary,Females,9549
"English, Malay & Tamil Only",Secondary,Females,2022
Other Three or More Languages,Secondary,Females,2945
Total,Post-Secondary (Non-Tertiary),Females,151059
Not Literate,Post-Secondary (Non-Tertiary),Females,1071
Literate,Post-Secondary (Non-Tertiary),Females,149988
